Udate,Close,High,Low,Open,Volume,Field7,LDate,LTime,pCalcIndx
1441220820,144.31,144.42,144.3,144.39,6971,,9/2/2015,42249.58819,42249.58819
1441220880,144.27,144.29,144.25,144.29,2758,,9/2/2015,42249.58889,42249.58889
1441220940,144.29,144.32,144.26,144.27,5036,,9/2/2015,42249.58958,42249.58958
1441221000,144.16,144.2999,144.11,144.2999,6213,,9/2/2015,42249.59028,42249.59028
1441221060,144.185,144.2,144.13,144.16,6464,,9/2/2015,42249.59097,42249.59097
1441221120,144.26,144.26,144.1,144.15,6915,,9/2/2015,42249.59167,42249.59167
1441221180,144.25,144.28,144.2005,144.25,7241,,9/2/2015,42249.59236,42249.59236
1441221240,144.03,144.24,144.02,144.24,10400,,9/2/2015,42249.59306,42249.59306
1441221300,143.9374,144.04,143.9,144.01,7106,,9/2/2015,42249.59375,42249.59375
1441221360,143.88,143.99,143.8,143.93,17006,,9/2/2015,42249.59444,42249.59444
1441221420,143.74,143.88,143.72,143.88,14311,,9/2/2015,42249.59514,42249.59514
1441221480,143.81,143.89,143.74,143.74,3912,,9/2/2015,42249.59583,42249.59583
1441221540,143.92,143.94,143.82,143.82,7900,,9/2/2015,42249.59653,42249.59653
1441221600,143.94,143.94,143.85,143.87,5631,,9/2/2015,42249.59722,42249.59722
1441221660,143.94,143.96,143.881,143.94,8392,,9/2/2015,42249.59792,42249.59792
1441221720,143.94,143.9707,143.88,143.92,8913,,9/2/2015,42249.59861,42249.59861
1441221780,143.9,143.92,143.82,143.92,7100,,9/2/2015,42249.59931,42249.59931
1441221840,143.89,143.92,143.85,143.8706,5900,,9/2/2015,42249.6,42249.6
1441221900,143.86,143.91,143.81,143.91,5320,,9/2/2015,42249.60069,42249.60069
1441221960,144.1,144.1,143.83,143.83,12100,,9/2/2015,42249.60139,42249.60139
1441222020,144.0608,144.09,144.05,144.09,3464,,9/2/2015,42249.60208,42249.60208
1441222080,144.12,144.19,144.04,144.05,12538,,9/2/2015,42249.60278,42249.60278
1441222140,144.17,144.19,144.12,144.1306,16481,,9/2/2015,42249.60347,42249.60347
1441222200,144.16,144.18,144.1,144.18,13673,,9/2/2015,42249.60417,42249.60417
1441222260,144.13,144.16,144.07,144.16,12960,,9/2/2015,42249.60486,42249.60486
1441222320,144.205,144.24,144.11,144.14,7463,,9/2/2015,42249.60556,42249.60556
1441222380,144.13,144.22,144.12,144.19,6765,,9/2/2015,42249.60625,42249.60625
1441222440,144.09,144.19,144.08,144.13,11827,,9/2/2015,42249.60694,42249.60694
1441222500,144.0671,144.11,144.03,144.09,29991,,9/2/2015,42249.60764,42249.60764
1441222560,144.14,144.15,144.08,144.08,10004,,9/2/2015,42249.60833,42249.60833
1441222620,144.1706,144.24,144.12,144.12,10155,,9/2/2015,42249.60903,42249.60903
1441222680,144.3,144.3001,144.17,144.18,11161,,9/2/2015,42249.60972,42249.60972
1441222740,144.28,144.32,144.2,144.3,9631,,9/2/2015,42249.61042,42249.61042
1441222800,144.22,144.33,144.22,144.2903,9810,,9/2/2015,42249.61111,42249.61111
1441222860,144.22,144.23,144.17,144.23,14657,,9/2/2015,42249.61181,42249.61181
1441222920,144.28,144.28,144.21,144.21,13193,,9/2/2015,42249.6125,42249.6125
1441222980,144.26,144.28,144.23,144.28,12349,,9/2/2015,42249.61319,42249.61319
1441223040,144.25,144.29,144.23,144.26,10491,,9/2/2015,42249.61389,42249.61389
1441223100,144.35,144.37,144.22,144.25,23106,,9/2/2015,42249.61458,42249.61458
1441223160,144.38,144.39,144.3,144.35,19870,,9/2/2015,42249.61528,42249.61528
1441223220,144.4,144.49,144.37,144.37,14750,,9/2/2015,42249.61597,42249.61597
1441223280,144.37,144.43,144.36,144.4,19714,,9/2/2015,42249.61667,42249.61667
1441223340,144.37,144.3899,144.33,144.375,15571,,9/2/2015,42249.61736,42249.61736
1441223400,144.4,144.42,144.34,144.37,23952,,9/2/2015,42249.61806,42249.61806
